video_path,describe,start_score,breast_size,high_heel,silk_stockings,maid_outfit,school_uniform,office_lady,erotic,oral_sex,office,school,bubble_bath,adult_entertainment_establishment,home,hotel,photography_studio,multi_person,chinese_subtitles,tiktok,breast_sex,doggy_style,missionary_position,lotus_position,Bathroom,washroom,outdoorL,invasion,first_person_perspective,infidelity,uncensored,foreplay
/media/pandas/video/video/temp/站立后入/Screenrecorder-2021-06-11-08-37-21-442.mp4,,2分,小乳,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,,,,,
/media/pandas/video/video/temp/站立后入/Screenrecorder-2021-11-26-03-01-46-589.mp4,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,
/media/pandas/video/video/temp1/非高跟/Screenrecorder-2021-07-16-00-05-20-303.mp4,,2分,小乳,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,,,,,,,,,,,,
/media/pandas/video/video/temp1/cut/c6f721ea65251bc9784738dc2f455e29.mp4,,3分,中乳,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,
/media/pandas/video/video/temp1/cut/share_1a7c62bdf6b7bb461a8a47322ffa57ba.mp4,,4分,小乳,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,
/media/pandas/video/video/temp1/非高跟/Screenrecorder-2022-04-15-07-19-08-360_000000.mp4,,2分,,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,,,,,,,,
/media/pandas/video/video/temp1/非高跟/Screenrecorder-2021-03-24-20-18-50-139.mp4,,2分,中乳,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,,,,,,,
/media/pandas/video/video/temp1/非高跟/Screenrecorder-2020-10-23-04-23-32-370.mp4,,3分,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,,,,,,,,
/media/pandas/video/video/temp1/非高跟/Screenrecorder-2021-09-25-06-30-56-954.mp4,,,,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,,,,,,,,
/media/pandas/video/video/temp1/高跟/Screenrecorder-2021-03-25-20-36-45-148.mp4,,2分,小乳,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,,,,,,,,
/media/pandas/video/video/temp1/cut/share_51871d69149c8fed26646e10b8994294.mp4,,4分,小乳,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,,,,,,,,
/media/pandas/video/video/temp/zuo_lian/Screenrecorder-2022-04-23-05-32-23-275.mp4,,3分,小乳,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,,,,,,,,
/media/pandas/video/video/temp1/非高跟/Screenrecorder-2021-06-13-05-17-37-350.mp4,,2分,小乳,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,,,,,,,,
/media/pandas/video/video/temp/口交乳交/kou_jiao/Screenrecorder-2021-03-23-03-25-01-906.mp4,,2分,小乳,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,
/media/pandas/video/video/temp/站立后入/Screenrecorder-2021-07-19-21-49-41-226.mp4,,3分,中乳,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,
/media/pandas/video/video/temp/站立后入/Screenrecorder-2021-06-19-03-47-48-851.mp4,,3分,小乳,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,,,,,,,,
/media/pandas/video/video/temp1/非高跟/Screenrecorder-2020-10-23-04-25-09-959.mp4,,2分,中乳,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
/media/pandas/video/video/temp1/非高跟/yIyIYTu8T5kK.mp4,,2分,小乳,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,,,,,,,,
/media/pandas/video/video/temp1/高跟/Screenrecorder-2023-01-07-08-12-50-843.mp4,,4分,小乳,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,,,,,,,,
/media/pandas/video/video/temp1/cut/c247beb419e84c9c7149a0b4997f5fb1.mp4,,3分,小乳,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,
/media/pandas/video/video/temp1/cut/a58ea50dbdc60046ff1e0ec4dc456ba1.mp4,,4分,小乳,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,
/media/pandas/video/video/temp1/非高跟/Screenrecorder-2021-07-15-03-00-51-955.mp4,,2分,巨乳,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,,,,,,,,
/media/pandas/video/video/temp1/非高跟/Screenrecorder-2022-04-27-03-43-13-327.mp4,,3分,巨乳,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,,,,,,,,
/media/pandas/video/video/temp1/手机/mmexport1690988492559.mp4,,4分,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,
/media/pandas/video/video/temp1/非高跟/Screenrecorder-2020-09-26-03-27-27-779.mp4,,3分,小乳,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,
/media/pandas/video/video/temp1/非高跟/黑丝·少妇·无码·假几把·直播.mp4,自慰，无码,2分,小乳,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,
/media/pandas/video/video/temp1/非高跟/Screenrecorder-2023-06-04-11-26-09-969.mp4,,3分,中乳,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,,,,,,,,
/media/pandas/video/video/temp/站立后入/Screenrecorder-2022-11-24-10-45-31-990.mp4,,2分,中乳,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,,,,,,,,
/media/pandas/video/video/temp1/非高跟/Screenrecorder-2020-09-26-03-50-34-579.mp4,,3分,中乳,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,,,,,,,,
/media/pandas/video/video/temp1/非高跟/Screenrecorder-2020-11-27-03-36-39-621.mp4,,2分,巨乳,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,,,,,,,,
/media/pandas/video/video/temp1/非高跟/Screenrecorder-2022-12-09-07-44-35-567.mp4,,2分,中乳,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,,,,,,,,
/media/pandas/video/video/temp1/cut/share_49209654ef2e9369564e2b709ad8e788.mp4,,2分,小乳,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,,,,,,,,
/media/pandas/video/video/temp1/非高跟/Screenrecorder-2020-10-20-01-57-48-679.mp4,,2分,小乳,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,,,,,,,,
/media/pandas/video/video/temp1/非高跟/Screenrecorder-2021-03-25-01-31-49-924.mp4,,2分,小乳,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,,,,,,,,
/media/pandas/video/video/temp1/非高跟/Screenrecorder-2021-06-06-08-22-26-617.mp4,,2分,中乳,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,,,,,,,,
/media/pandas/video/video/temp1/非高跟/Screenrecorder-2022-05-28-06-47-32-123.mp4,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
